Group,Heat,Lane,CarNum,TimeSec,Place,SpeedMPH
A: Den 1 Tiger,4,4,1,2.6197,2,208.212582
A: Den 1 Tiger,3,5,1,2.6379,2,206.776034
A: Den 1 Tiger,5,3,1,2.648,1,205.987349
A: Den 1 Tiger,2,6,1,2.6509,2,205.762005
A: Den 1 Tiger,6,2,1,2.6524,2,205.645642
A: Den 1 Tiger,1,1,1,2.6566,2,205.320522
A: Den 1 Tiger,2,1,2,2.5789,1,211.50665
A: Den 1 Tiger,3,6,2,2.5891,1,210.6734
A: Den 1 Tiger,4,5,2,2.5908,1,210.535163
A: Den 1 Tiger,6,3,2,2.6086,1,209.098559
A: Den 1 Tiger,5,4,2,2.6498,2,205.847422
A: Den 1 Tiger,1,2,2,2.6509,1,205.762005
A: Den 1 Tiger,6,4,4,2.7766,4,196.446913
A: Den 1 Tiger,4,6,4,2.7786,4,196.305514
A: Den 1 Tiger,1,3,4,2.7894,4,195.545458
A: Den 1 Tiger,5,5,4,2.791,4,195.433357
A: Den 1 Tiger,3,1,4,2.7953,4,195.132723
A: Den 1 Tiger,2,2,4,2.81,4,194.111922
A: Den 1 Tiger,1,4,5,2.6802,3,203.512611
A: Den 1 Tiger,4,1,5,2.6954,3,202.364955
A: Den 1 Tiger,6,5,5,2.6992,3,202.080061
A: Den 1 Tiger,5,6,5,2.7013,3,201.922963
A: Den 1 Tiger,2,3,5,2.7193,3,200.586364
A: Den 1 Tiger,3,2,5,2.7202,3,200.519999
A: Den 1 Tiger,1,5,6,2.9419,5,185.408919
A: Den 1 Tiger,4,2,6,3.0614,5,178.171588
A: Den 1 Tiger,2,4,6,3.0819,5,176.986437
A: Den 1 Tiger,5,1,6,3.1404,5,173.689498
A: Den 1 Tiger,3,3,6,3.1498,5,173.171154
A: Den 1 Tiger,6,6,6,3.2134,5,169.743729
B: Den 3 Tiger,1,1,10,2.6198,1,208.204634
B: Den 3 Tiger,4,5,10,2.6248,1,207.808023
B: Den 3 Tiger,5,4,10,2.6264,1,207.681427
B: Den 3 Tiger,3,6,10,2.6371,1,206.838762
B: Den 3 Tiger,6,3,10,2.6472,2,206.0496
B: Den 3 Tiger,7,2,10,2.6513,2,205.730962
B: Den 3 Tiger,1,2,11,2.9119,5,187.319104
B: Den 3 Tiger,2,1,11,2.9476,5,185.05038
B: Den 3 Tiger,4,6,11,2.9822,5,182.903393
B: Den 3 Tiger,5,5,11,2.9849,5,182.737948
B: Den 3 Tiger,6,4,11,3.0013,6,181.739413
B: Den 3 Tiger,7,3,11,3.01,5,181.21412
B: Den 3 Tiger,7,4,12,2.793,3,195.293412
B: Den 3 Tiger,3,1,12,2.7939,3,195.230502
B: Den 3 Tiger,6,5,12,2.8032,4,194.582798
B: Den 3 Tiger,2,2,12,2.8111,3,194.035965
B: Den 3 Tiger,5,6,12,2.8504,4,191.360686
B: Den 3 Tiger,1,3,12,2.8522,3,191.23992
B: Den 3 Tiger,1,4,13,2.9012,4,188.009961
B: Den 3 Tiger,2,3,13,2.9334,4,185.946172
B: Den 3 Tiger,4,1,13,2.9379,4,185.661357
B: Den 3 Tiger,3,2,13,2.9566,5,184.48708
B: Den 3 Tiger,7,5,13,2.9606,4,184.237823
B: Den 3 Tiger,6,6,13,2.9626,5,184.113448
B: Den 3 Tiger,1,5,14,2.9478,6,185.037825
B: Den 3 Tiger,2,4,14,2.9563,6,184.505801
B: Den 3 Tiger,5,1,14,3.037,6,179.603062
B: Den 3 Tiger,3,3,14,3.0372,6,179.591235
B: Den 3 Tiger,4,2,14,3.1082,6,175.488868
B: Den 3 Tiger,7,6,14,3.1626,6,172.470278
B: Den 3 Tiger,6,1,16,2.7659,3,197.206877
B: Den 3 Tiger,2,5,16,2.777,2,196.418617
B: Den 3 Tiger,4,3,16,2.8068,3,194.333226
B: Den 3 Tiger,5,2,16,2.8226,3,193.245412
B: Den 3 Tiger,3,4,16,2.8241,4,193.142771
B: Den 3 Tiger,1,6,16,2.8364,2,192.305211
B: Den 3 Tiger,6,2,17,2.6211,1,208.10137
B: Den 3 Tiger,5,3,17,2.6354,2,206.972186
B: Den 3 Tiger,4,4,17,2.637,2,206.846606
B: Den 3 Tiger,7,1,17,2.6421,1,206.447334
B: Den 3 Tiger,2,6,17,2.643,1,206.377034
B: Den 3 Tiger,3,5,17,2.6459,2,206.150837
C: Den 5 Wolf,5,6,18,2.6826,2,203.330538
C: Den 5 Wolf,8,4,18,2.6872,4,202.982472
C: Den 5 Wolf,3,5,18,2.6874,5,202.967366
C: Den 5 Wolf,4,3,18,2.6886,4,202.876776
C: Den 5 Wolf,7,2,18,2.6914,5,202.665713
C: Den 5 Wolf,1,1,18,2.7004,3,201.990261
C: Den 5 Wolf,1,4,20,2.7284,4,199.917351
C: Den 5 Wolf,6,6,20,2.7729,5,196.709041
C: Den 5 Wolf,4,5,20,2.7902,6,195.489391
C: Den 5 Wolf,2,1,20,2.8008,6,194.749536
C: Den 5 Wolf,8,2,20,2.805,6,194.457932
C: Den 5 Wolf,5,3,20,2.8066,6,194.347075
C: Den 5 Wolf,1,2,21,2.6337,2,207.105783
C: Den 5 Wolf,6,3,21,2.6528,1,205.614634
C: Den 5 Wolf,7,6,21,2.657,2,205.289612
C: Den 5 Wolf,2,4,21,2.6629,1,204.834767
C: Den 5 Wolf,3,1,21,2.684,4,203.224478
C: Den 5 Wolf,5,5,21,2.6959,3,202.327423
C: Den 5 Wolf,7,3,22,2.6682,3,204.427891
C: Den 5 Wolf,8,6,22,2.6684,1,204.412569
C: Den 5 Wolf,4,1,22,2.6735,3,204.02263
C: Den 5 Wolf,3,4,22,2.6789,2,203.61137
C: Den 5 Wolf,2,2,22,2.6829,3,203.307801
C: Den 5 Wolf,6,5,22,2.683,2,203.300224
C: Den 5 Wolf,1,6,23,2.621,1,208.109309
C: Den 5 Wolf,4,4,23,2.6223,1,208.00614
C: Den 5 Wolf,7,5,23,2.6274,1,207.602383
C: Den 5 Wolf,5,1,23,2.6293,1,207.452364
C: Den 5 Wolf,3,2,23,2.6606,1,205.011839
C: Den 5 Wolf,8,3,23,2.6758,2,203.847261
C: Den 5 Wolf,1,3,24,2.7598,5,197.642764
C: Den 5 Wolf,8,5,24,2.7598,5,197.642764
C: Den 5 Wolf,4,2,24,2.7628,5,197.428153
C: Den 5 Wolf,6,1,24,2.763,4,197.413862
C: Den 5 Wolf,2,6,24,2.7766,5,196.446913
C: Den 5 Wolf,5,4,24,2.7979,5,194.951392
C: Den 5 Wolf,2,3,26,2.7688,4,197.000325
C: Den 5 Wolf,3,6,26,2.7786,6,196.305514
C: Den 5 Wolf,5,2,26,2.7844,4,195.896602
C: Den 5 Wolf,6,4,26,2.7864,6,195.755993
C: Den 5 Wolf,1,5,26,2.7937,6,195.244479
C: Den 5 Wolf,7,1,26,2.8099,6,194.11883
C: Den 5 Wolf,4,6,27,2.6728,2,204.076063
C: Den 5 Wolf,7,4,27,2.6745,4,203.946345
C: Den 5 Wolf,8,1,27,2.6762,3,203.816792
C: Den 5 Wolf,3,3,27,2.6815,3,203.413947
C: Den 5 Wolf,2,5,27,2.6822,2,203.36086
C: Den 5 Wolf,6,2,27,2.6979,3,202.177434
